Project,Relation Type,SATD A,SATD B
Drill,SATD Duplication,"[2016-01-29 18:12:27][laurentgo][pull:summary][347]
Drill code base references lots of rawtypes, which generates lots of warning from the compiler.

As Drill is now compiled with Java 1.7, most of them can be replaced by generic types.
","[2016-01-29 17:52:56][Laurent Goujon][issue:summary][DRILL-4327:12935193]
The Drill codebase references lots of rawtypes, which generates lots of warning from the compiler.

Since Drill is now compiled with Java 1.7, it should use generic types as much as possible."
Lucene Solr,No Relation,"[2017-11-03 10:40:14][Alan Woodward][code-comment][a886a001a4c08e37cc975fd4965bbbaa4ddf938a]
 BooleanQuery wrapping an uncacheable query should also not be cached
","[2017-11-01 14:01:33][Alan Woodward][issue:comment][LUCENE-8017:16234100]
Here's a patch adding getCacheHelper() as a method on Weight.  I've made this abstract and implemented it on all Weights - it could theoretically default to returning null or the Reader-level cache helper, but I think it's better to be explicit about it.

Some things to explore in follow-up issues:
* re-instate getCoreAndDeletesCacheHelper (or CoreAndDocValues, or whatever we want to call it) so that doc-values based queries can be re-used between searchers if the DV gen is the same
* add getCacheHelper to Double/LongValuesSource so that, eg constant DVS queries can be cached properly"
Beam,No Relation,"[2017-01-23 16:03:47][Kenneth Knowles][code-comment][9248befbbba6b2d18cde3b7ee562b13af33681fc]
*
 * Tests for ApiSurface. These both test the functionality and also that our
 * public API is conformant to a hard-coded policy.
","[2017-01-23 16:03:47][Kenneth Knowles][commit][9248befbbba6b2d18cde3b7ee562b13af33681fc]
Revert ""Simplified API surface verifications""

This reverts commit 29ffaf3859ba9b4d8ba8529efc96fd5e105e21a3.

The change to require all whitelisted packages to actually expose something
failed in the Dataflow runner postcommit. To be rolled forward after
fixing."
Hbase,SATD Repayment,"[2017-12-14 15:59:41][zhangduo][commit][7466e64abb2c68c8a0f40f6051e4b5bf550e69bd]
HBASE-19510 TestDistributedLogSplitting is flakey for AsyncFSWAL
","[2017-12-14 02:33:36][Duo Zhang][issue:summary][HBASE-19510:13124863]
TestDistributedLogSplitting is flakey for AsyncFSWAL"
Geode,SATD Repayment,"[2018-08-07 13:51:17][Dan Smith][commit][fcd6940600bc0ad3593a492c9a3a30bef4a9bf76]
GEODE-5470: Deleting flaky DlockAndTxLockRegressionTest

This test was introduced as part of the fix for GEODE-4928. However,
we've determined that GEODE-4928 is not actually fixed, which is why
this test is sporadically failing.

Since GEODE-4928 actually appears to be trying to introduce new behavior
for dlocks that is a rather involved feature to implement. Leaving that
feature for another time and deleting this test.
","[2018-07-24 16:35:42][Jinmei Liao][issue:comment][GEODE-5470:16554497]
The test has a comment that says: ""sometimes fail if the background cleanup takes too long."""
Helix,SATD Repayment,"[2014-05-21 18:52:05][zzhang][code-comment][f3b2c4f66acc700467cf99c7b28be1e494d724d7]
 all other participants should have cleaned up empty current state
","[2014-05-21 18:52:05][zzhang][commit][f3b2c4f66acc700467cf99c7b28be1e494d724d7]
[HELIX-132] current-state and external-view are not cleaned up when a resource has been removed, rb=21666"
Beam,SATD Repayment,"[2018-04-24 15:59:53][Thomas Groh][commit][6bb6425dec9ba764d8ba70135e47dc71ecfa22dd]
Merge pull request #5148: Cleanups in GroupByKeyOnlyEvaluatorFactory
","[2018-04-16 23:23:01][tgroh][pull:summary][5148]
Cleanups in GroupByKeyOnlyEvaluatorFactory"
Tinkerpop,SATD Duplication,"[2014-05-28 10:48:49][Stephen Mallette][code-comment][ce936da5d046d426d69eae7c887a45d109a1295b]
 a dead connection signifies a likely dead host - given that assumption close the pool.  we could likely
 have a smarter and more configurable choice here, but for now this is ok.
","[2014-05-28 10:48:49][Stephen Mallette][commit][ce936da5d046d426d69eae7c887a45d109a1295b]
Handle dead connections in a pool by closing the pool.

We likely could have more configurable and flexible approaches to dealing with dead connections, but for now the assumption that a dead connection means a dead host is likely good enough."
Lucene Solr,SATD Repayment,"[2018-07-05 14:53:44][Steve Rowe][code-comment][039dae76cb27d6dbc4273f3033ed167a87e3e5f2]
 Remove old stuff
","[2018-07-05 14:53:44][Steve Rowe][commit][039dae76cb27d6dbc4273f3033ed167a87e3e5f2]
Run 'rvm cleanup all' to remove old stuff"
Shardingsphere Elasticjob,SATD Duplication,"[2020-10-19 19:29:09][Liang Zhang][code-comment][dc25797275052f4519e7c59331be295bb3ee9d44]
 TODO default value is 5000
","[2020-10-19 11:29:04][terrymanu][pull:summary][1600]
Add todo to default value"
Flink,SATD Repayment,"[2020-11-10 10:57:26][fangliang][commit][ea88795c96585e1ae5a195b9e633d8565c1a7f5d]
[FLINK-18938][table-api] Throw better exception message for querying sink only or source only connector

This closes #13214
","[2020-08-13 08:10:18][Jark Wu][issue:summary][FLINK-18938:13322489]
Throw better exception message for quering sink-only connector"
Drill,No Relation,"[2016-11-02 18:00:55][Parth Chandra][commit][7f5acf8f06f4ab2a2efc9801d322b81436794004]
DRILL-4800: Parallelize column reading. Read/Decode fixed width fields in parallel Decoding var length columns in parallel Use simplified decompress method for Gzip and Snappy decompression. Avoids concurrency issue with Parquet decompression. (It's also faster). Stress test Parquet read write Parallel column reader is disabled by default (may perform less well under higher concurrency)
","[2016-07-22 18:48:48][Parth Chandra][issue:summary][DRILL-4800:12991922]
Improve parquet reader performance"
Incubator Doris,SATD Repayment,"[2020-02-05 11:48:54][LingBin][commit][ee5323a6a04ac668a86bff255d8e1e4e88e38a2f]
[Code Refactor]Improve initialization flow of Schema (#2833)

When constructing `Schema` objects, two similar `init` functions
need to be called, and the call order is implicitly required, which
is easy to be misused. At the same time, some of the existing comments
are missing or out of date, which will cause some misleading.

This patch unifies the initialization logic of `Schema`.

No functional changes in this patch.
","[2020-02-04 08:51:00][lingbin][pull:summary][2833]
When constructing `Schema` objects, two similar `init()` functions
need to be called, and the call order is implicitly required, which
is easy to be misused. At the same time, some of the existing comments
are missing or out of date, which will cause some misleading.

This patch unifies the initialization logic of `Schema`.

No functional changes in this patch."
Carbondata,SATD Repayment,"[2018-04-23 16:28:35][ravipesala][commit][8b33ab240126e999e9196369025917370172eee4]
[CARBONDATA-2376] Improve Lucene datamap performance by eliminating blockid while writing and reading index

Problem:
Currently DataMap interface implementations use blockid and blockletid while writing index files, Actually blockid is not needed to store in index files as it only requires blockletid. So it adds more memory and disk size to write index files.

Solution:
Use taskname as index name to identify the indexname. And filter the blocklets directly by avoiding blockids.And pass the taskName as indexname to identify the blockid from blocletdatamap.

Corrected the implementations of LuceneDatamap, BloomFilterDataMap, CGDataMap, FGDataMap and MinMaxDataMap

This closes #2206
","[2018-04-22 05:03:56][ravipesala][pull:summary][2206]
[CARBONDATA-2376] Improve Lucene datamap performance by eliminating blockid while writing and reading index."
Incubator Pinot,SATD Repayment,"[2018-09-27 18:39:45][Xiaotian Jiang][commit][e5ec0f9cdf60b341fd2373da12420c89367e19a2]
Simplify the parameter for forward index creators (#3208)

Also move method getNumBitsPerValue() into PinotDataBitSet and re-implement it without using double
","[2018-09-21 00:50:00][Jackie-Jiang][pull:summary][3208]
Simplify the parameter for forward index creators"
Flink,SATD Duplication,"[2020-06-03 14:46:50][Aljoscha Krettek][code-comment][dc6181667ac012afc0c68cfef825ec7bb30a7589]
 We are using JavaSerializer from the flink-runtime module here. This is very naughty and
 we shouldn't be doing it because ideally nothing in the API modules/connector depends
 directly on flink-runtime. We are doing it here because we need to maintain backwards
 compatibility with old state and because we will have to rework/remove this code soon.
","[2020-06-03 14:46:50][Aljoscha Krettek][commit][dc6181667ac012afc0c68cfef825ec7bb30a7589]
[FLINK-17376] Use JavaSerializer instead of getSerializableListState()

We do this because we want to deprecate that method. We will have to get
rid of using JavaSerialization completely soon, though."
Incubator Brooklyn,No Relation,"[2015-11-17 22:50:49][Alex Heneveld][code-comment][3e40b2bfd609e6313c9f48d42be722f708043da1]
 TODO depending how useful this is, it might be better to replace by a static WeakHashMap in RegisteredTypes
","[2015-11-12 13:09:18][neykov][pull:comment][1017:44654399]
Doesn't look right, aren't application specs always top level?

On another note, I haven't removed this method just for backwards compatibility. It belongs to an utils class with the `createServiceSpecs` doing the heavy lifting."
Incubator Pinot,SATD Repayment,"[2020-08-05 21:23:37][Xiaotian (Jackie) Jiang][commit][ffa954194e61e330c625a795cae94c15a54a2694]
Pre-generate aggregation functions in QueryContext (#5805)

`AggregationFunction` itself is stateless, so we can share it among all the segments to prevent the overhead of creating it per segment. This can significantly improve the performance of high selectivity queries that hit lots of segments.

- Remove the `accept(visitor)` from the `AggregationFunction` interface which may make it stateful
- Make `DistinctCount` and `DistinctCountBitmap` stateless by caching the dictionary within the result holder
","[2020-08-04 19:59:16][Jackie-Jiang][pull:summary][5805]
## Description
`AggregationFunction` itself is stateless, so we can share it among all the segments to prevent the overhead of creating it per segment. This can significantly improve the performance of high selectivity queries that hit lots of segments.

- Remove the `accept(visitor)` from the `AggregationFunction` interface which may make it stateful
- Make `DistinctCount` and `DistinctCountBitmap` stateless by caching the dictionary within the result holder

## Release Notes
Interface change: `accept(visitor)` is removed from `AggregationFunction`
All the implementation of the `AggregationFunction` should be stateless so that it can be shared among all the segments."
Ozone,No Relation,"[2019-01-09 11:20:57][Hanisha Koneru][code-comment][a8426d990f79e4cf826136dd8960cbcfb091d14a]
 Since the state machine is not implemented yet, we should get the
 configured dummy message from Ratis.
","[2019-01-09 09:15:34][Shashikant Banerjee][issue:comment][HDDS-947:16737994]
Thanks [~hanishakoneru] for updating the patch. The patch looks good to me. I am +1 on this.

Please take care of the checkStyle issues and ASF licensing issue while committing."
Kafka,No Relation,"[2016-04-07 21:42:24][granders][pull:comment][1173:58950231]
@ewencp Isn't this true of any check of ""aliveness"" here since the process can be gone by the time you check?

In principle you'd need to detect
""is alive OR was alive and finished successfully""

One option is to simply keep as-is, but document that there a known (but probably unlikely) way to get a spurious failure here
","[2016-04-01 16:59:28][Ismael Juma][issue:summary][KAFKA-3490:12955353]
To verify the performance impact of changes, it is very handy to be able to run ducktape performance tests across multiple Kafka versions. Luckily [~geoffra] has done most of the work for this."
Hive,SATD Duplication,"[2017-03-21 13:55:27][Sergey Shelukhin][code-comment][9f5a3e3d89db7d6f4754eb345ad9abb6997857e1]
 TODO: the memory release could be optimized - we could release original buffers after we
       are fully done with each original buffer from disk. For now release all at the end;
       it doesn't increase the total amount of memory we hold, just the duration a bit.
       This is much simpler - we can just remember original ranges after reading them, and
       release them at the end. In a few cases where it's easy to determine that a buffer
       can be freed in advance, we remove it from the map.
","[2017-03-21 01:52:55][Sergey Shelukhin][issue:comment][HIVE-16180:15933968]
Simplifying the release logic - we can just remember the buffers in the beginning. Could be simplified even more by removing all the early release."
Flink,No Relation,"[2019-11-07 08:50:51][Dawid Wysakowicz][code-comment][0b28e830d7366126a91ca9faa38cb19a8f66a9b6]
*
	 * Must be public as it is used during code generation.
","[2019-10-31 13:12:22][Dawid Wysakowicz][issue:comment][FLINK-13702:16963982]
I don't know exactly how the {{JoinedRow}} is used and therefore if the {{equals/hashCode}} is needed. Correct me if I am wrong but if we remove the {{equals/hashCode}} from {{BinaryGeneric}}, doesn't it mean that we can no longer use generic objects in a {{GroupBy}} clause, no? Isn't that a regression?

Edit: Ok I think the answer is that the key selector always uses {{BinaryRow}}, where the {{BinaryGeneric}} is written as bytes. You never compare the objects.

I would be in favor of removing the {{serializer}} from the {{BinaryGeneric}} then."
